subject_nr,condition,xprob__initial_precision,prior_posterior_weight,action_noise,xprob__volatility
2,1,1.0400156585718807,0.8495664441844508,0.7290994422649844,-4.86194366501994
2,2,1.1518489916511343,0.2725779228083022,0.8580665094998801,-5.168775908492958
2,3,1.052900287555489,2.2070087591253262,0.7834904025869139,-4.852932969050228
2,4,1.0332490619811747,0.5484047237474272,1.1068196206165095,-5.254816475849799
2,5,1.1561005987781656,0.46036217106667554,0.9175086038683575,-5.315833513243822
2,6,0.8350491461670752,0.46223020759902267,0.6872280587648656,-5.072095308578483
3,1,1.1043423605312288,1.063843417306861,0.7427539324095078,-5.19504916719238
3,2,1.0194861000448179,0.9289408292310264,1.1244625131766894,-5.327792071824568
3,3,0.701005044265002,1.405683483871697,0.6247864975332806,-5.430362141485432
3,4,1.037614989837642,0.9254420939674797,1.163629226527862,-5.186791580999895
3,5,0.616362448666674,1.6072525934406023,0.6955003110504092,-4.824475364339098
3,6,0.9167613929407024,1.072444062655852,1.289932471061214,-4.618529886487174
4,1,1.098427468469001,0.6094055754782326,1.1122946729144207,-5.4070690186613835
4,2,0.6892229912141417,1.0590759926295794,0.3624165837693716,-5.681581705693549
4,3,1.4514561151104939,1.9851673655146584,0.354429636251125,-5.311228175873178
4,4,1.1850698490068545,1.4439995639147418,1.3542097235644148,-5.1472981021091915
4,5,1.2006791773032084,1.322538757815505,1.1150433685208445,-5.059663479476159
4,6,1.242957327748587,1.1795076672356632,0.7218450069896565,-5.063104414439873
5,1,1.1947663495958225,0.7393440880802749,0.6266444242492011,-4.917806874158556
5,2,0.8382735963107724,0.9457441593045708,0.45151587742361005,-5.5520185799766715
5,3,1.184690222980639,0.6431634046560912,1.1122561462249516,-5.366917428830763
5,4,1.1360057626262265,2.008306413097286,1.5422056304382992,-5.0278827451417785
5,5,0.8284511747515376,1.0727540707080028,1.6202385661870422,-5.12710204500078
5,6,0.8235863624018632,1.0622673722281613,1.3354904922344986,-4.813137510138803
6,1,0.8087689313330046,1.2700274383595307,0.5760513963339495,-4.434809003364199
6,2,1.4593199122245217,1.1660690260263245,0.4706536434018377,-4.670604316915318
6,3,0.9413956975346274,0.8923032622598152,0.5223677492831916,-5.094025725535365
6,4,0.930405451185454,0.38627988663536883,0.7261400084817582,-5.017114866277826
6,5,1.0369999846917888,0.8804840064480693,0.9066704042816917,-4.259687288605773
6,6,1.1215080479899369,0.3664623479389497,1.4194495252155828,-5.2306750168331035
7,1,0.8039807650407232,2.4849043834073963,0.49220123688406836,-4.826981444437664
7,2,0.9782382550380451,2.7097468060634595,0.5095054887082379,-4.9540533218126415
7,3,0.9068864657322628,2.0223642593398803,0.22974876630601,-5.001561410429645
7,4,1.4141066272889902,2.361139215531012,0.29694118675955516,-5.673158705780304
7,5,0.6410589547710305,1.1894835712429237,0.35208046958168404,-6.022497695175893
7,6,0.8902111853155448,0.6056395674734031,0.8166601273822108,-5.374160044298689
8,1,0.5911268469324749,1.4378371670989978,0.3074393916259408,-5.275698520538361
8,2,0.7439350748763897,1.1197407191534858,0.43175311576153147,-5.169367734860527
8,3,1.0622266371237838,0.6722828971375532,0.5306913045744543,-5.528419844620646
8,4,1.2167952229024952,2.918386773012118,0.3966362168384305,-4.360221098475249
8,5,0.6603211878408166,2.2884623127310064,0.8373723372396035,-5.520780285588094
8,6,1.0884371727552735,1.8931331374101479,1.8035626711186115,-5.213502439235194
9,1,0.614428940853635,2.2422232490749225,0.6407400057545265,-5.098030724784191
9,2,1.048734207985088,2.221459235284667,1.7090634518855667,-4.582380874209136
9,3,0.36041165672482184,2.234419931450243,1.234255183108115,-3.613597809270536
