"detectprob","resp_binary","subject_nr","condition"
0,0,1,3
0.198358805941635,0,1,3
0,0,1,3
0,0,1,3
0,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0.655297604611112,0,1,4
0.521143477084884,0,1,4
0.655297604611112,1,1,4
0.383868747967051,0,1,4
0.521143477084884,0,1,4
0.383868747967051,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.655297604611112,0,1,4
0.521143477084884,0,1,4
0.383868747967051,0,1,4
0.655297604611112,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.383868747967051,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.383868747967051,0,1,4
0,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.383868747967051,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.383868747967051,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0.383868747967051,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0,0,1,4
0.383868747967051,0,1,4
0,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,4
0,0,1,4
0.383868747967051,0,1,4
0.655297604611112,0,1,4
0.655297604611112,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0,0,1,4
0.521143477084884,0,1,4
0.521143477084884,0,1,5
0.655297604611112,0,1,5
0.655297604611112,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0.655297604611112,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0.383868747967051,0,1,5
0.521143477084884,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0.383868747967051,0,1,5
0.383868747967051,0,1,5
0,0,1,5
0.383868747967051,0,1,5
0,0,1,5
0.655297604611112,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0.655297604611112,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0.383868747967051,0,1,5
0,0,1,5
0,0,1,5
0,0,1,5
0.383868747967051,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0.383868747967051,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0,0,1,5
0.383868747967051,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0,0,1,5
