"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",0.0668451784232506,0.0922174194948434,-0.1179699245,0.2491624345,NA,NA
"fam",0.384792139205626,0.144428781848446,0.10860045525,0.668996271,4.60120945744498,"4.60"
"musicvivid",0.272627310080833,0.052768044492045,0.16623698825,0.37673102475,2411537141521424,"2.41e+15"
"lshs",0.176127457314025,0.182233853941789,-0.19642963675,0.52878388625,0.316916304824578,"0.32"
"ztrialID",-0.405842412888333,0.0047720421707997,-0.415199703,-0.39645032725,426044569999781,"4.26e+14"
"fam:musicvivid",0.373823288475783,0.106304575580233,0.16542797875,0.58563041975,57.8165859455162,"57.82"
"fam:lshs",0.785253221688525,0.275444460073305,0.241807985,1.3311812325,14.7231336949533,"14.72"
"musicvivid:lshs",0.119664512527162,0.117624948282031,-0.10882210325,0.35331694675,0.193741829378047,"0.19"
"fam:musicvivid:lshs",3.19022115186667,0.237511342134276,2.72078081,3.6487466025,8694112012304704,"8.69e+15"
