"Hallucination_Proneness","contrast","estimate","lower.HPD","upper.HPD"
"Lower Proneness (-1SD)","FT - AS",0.022763270249994,-0.012208834999986,0.056985185599947
"Lower Proneness (-1SD)","None - AS",-0.178039667500018,-0.213529340000001,-0.144404392999951
"Lower Proneness (-1SD)","FT - None",0.200831474649983,0.165280431500033,0.234257299000007
"Higher Proneness (+1SD)","FT - AS",-0.040828574419997,-0.075697679999946,-0.0075282204999311
"Higher Proneness (+1SD)","None - AS",-0.0776432200000186,-0.113288756000101,-0.0455434650000597
"Higher Proneness (+1SD)","FT - None",0.0368835848750372,0.00192551799992569,0.0725647737000257
