"Hallucination_Proneness","fam.trend","lower.HPD","upper.HPD"
"Lower Proneness (-1SD)",0.252345999648752,-0.0713168659377164,0.580410622739473
"Higher Proneness (+1SD)",-0.226796467296986,-0.566922825165981,0.115244663468793
