"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",-0.2056817309775,0.00676629454391751,-0.218587495,-0.19271001325,NA,NA
"signal",1.1395879186025,0.0695275228760829,1.00487094,1.2732770775,65500435671010128,"6.55e+16"
"selfvoice",-0.0100619708753215,0.0628748579926826,-0.134010735,0.11577471275,0.120080931712883,"0.12"
"bl",0.2492550309575,0.0411886737723924,0.17003762525,0.3279795485,Inf,"Inf"
"lshs",-0.052249082556225,0.0138237375089259,-0.07937172165,-0.024768868225,527.385722105783,"5.27e+02"
"ft",0.09017495514766,0.0303608173167342,0.031632286675,0.15008641925,3.56017417414277,"3.56"
"signal:selfvoice",0.056100709795832,0.0293479691487499,-0.000436251280999998,0.113828794,0.335190383140917,"0.34"
"signal:bl",-0.0351499195834398,0.0345391524970935,-0.1015030565,0.03422330585,0.116010721688534,"0.12"
"selfvoice:bl",-0.100544022980811,0.033609574935726,-0.165825846,-0.034540485975,4.25547430542109,"4.26"
"signal:lshs",0.0178365661840975,0.131802061363036,-0.2372390585,0.2780935715,0.270101734733308,"0.27"
"selfvoice:lshs",-0.0922415830306283,0.117750494258314,-0.32848317425,0.13843360275,0.301285357736441,"0.30"
"bl:lshs",0.16571342199382,0.0838907152160417,0.00136651702075001,0.331093075,1.16738126374316,"1.17"
"signal:ft",0.0130510549502394,0.0348901888455994,-0.056504902675,0.08251460575,0.0729427865761255,"0.07"
"selfvoice:ft",-0.00472953285303475,0.0330931792563859,-0.0691441455,0.061380369175,0.0659804959418855,"0.07"
"lshs:ft",0.0706586216328875,0.0610852939011239,-0.049327331525,0.19092179425,0.238063423618614,"0.24"
"signal:selfvoice:bl",-0.0542375972013015,0.0698246124466797,-0.190908129,0.081266105975,0.179687042960435,"0.18"
"signal:selfvoice:lshs",0.47174224001,0.0583678253527832,0.3514983395,0.5846497035,43709289102732144,"4.37e+16"
"signal:bl:lshs",0.0552581403369795,0.0717873129793997,-0.082699288275,0.191444772,0.187525977710711,"0.19"
"selfvoice:bl:lshs",0.154812239816755,0.067253221859229,0.023662974025,0.28992985125,1.65140099056399,"1.65"
"signal:selfvoice:ft",0.112650428536607,0.0710046355210072,-0.026535626,0.24957779975,0.481133098727406,"0.48"
"signal:lshs:ft",-0.049733072885708,0.0716561905854856,-0.189234762,0.0877838066500001,0.17615172740101,"0.18"
"selfvoice:lshs:ft",-0.00640574856270973,0.0674654956986322,-0.141208564,0.1260702535,0.130045219853944,"0.13"
"signal:selfvoice:bl:lshs",-0.4610571801143,0.14031759213562,-0.729511193,-0.182673647,53.0118074606804,"53.01"
"signal:selfvoice:lshs:ft",-0.33808859039049,0.144618844094229,-0.61532200275,-0.0509332658249999,3.24877901903133,"3.25"
