"Hallucination_Proneness","selfvoice.trend","lower.HPD","upper.HPD"
"Lower Proneness (-1SD)",0.0414586059166606,-0.248030576750005,0.351499819416665
"Higher Proneness (+1SD)",-0.331736255149993,-0.619463665999981,-0.0394843074999987
