"fam","lshs","emmean","lower.HPD","upper.HPD"
"Weak Prior","Lower Proneness (-1SD)",0.192998998000475,-0.0552827607674002,0.4763230458044
"Strong Prior","Lower Proneness (-1SD)",0.443085402122475,0.191467054563,0.69242469344165
"Weak Prior","Higher Proneness (+1SD)",0.41380058900435,0.17221320045975,0.67993178526765
"Strong Prior","Higher Proneness (+1SD)",0.184814266231125,-0.0706043036782498,0.44681584280595
