"Prior","Hallucination_Proneness","Sensitivity_dprime","Lower_HPD","Upper_HPD"
"Strong","High (+1SD)",1.33417895177502,0.929364045000039,1.70553442000008
"Weak","High (+1SD)",1.11127483025004,0.723195132499998,1.48724857749999
"Strong","Low (-1SD)",1.20792336674993,0.808618847499999,1.55631390199996
"Weak","Low (-1SD)",1.46568561475001,1.06771622999994,1.83872803449995
