"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",0.00192480288896159,0.0711683100635377,-0.14195489325,0.142087506,NA,NA
"selfvoice",-0.0863303320048873,0.100492166275306,-0.284053885,0.114034345,0.146022200734606,"0.15"
"bl",0.191766415001952,0.0821983798999936,0.032124715475,0.358473107,1.10771058910452,"1.11"
"lshs",-0.143797965736004,0.143492206483649,-0.43075948675,0.133060044,0.227878521556638,"0.23"
"ft",0.112064542818197,0.0736988226306902,-0.03117927195,0.25877135675,0.241097761358656,"0.24"
"selfvoice:bl",-0.10465891439734,0.143401840967488,-0.3892704995,0.175847881,0.189428145347446,"0.19"
"selfvoice:lshs",-0.542758763558825,0.192770892844713,-0.92127213625,-0.166596294,10.2243978108727,"10.22"
"bl:lshs",0.0652507400974957,0.159218961253863,-0.247760089,0.37611648925,0.171738771668561,"0.17"
"selfvoice:ft",-0.245318865655007,0.139217755273642,-0.51721613325,0.0293463843000001,0.629843453833946,"0.63"
"lshs:ft",0.151378154791009,0.146418576072314,-0.13941166375,0.438027103,0.237366560067924,"0.24"
"selfvoice:bl:lshs",0.853887377163912,0.276427429904423,0.3094122745,1.3971251875,26.099448515432,"26.10"
"selfvoice:lshs:ft",0.144843275157166,0.270556654094577,-0.385489021,0.6628498715,0.318789562777245,"0.32"
