"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",0.0215176793393948,0.106912503459275,-0.18381284375,0.2314640995,NA,NA
"fam",-0.306032593552281,0.193654010470918,-0.698770627,0.069563404575,0.62311519976708,"0.62"
"musicvivid",0.0613104412201882,0.201798752742564,-0.345540847,0.453689508,0.206359783845037,"0.21"
"lshs",0.323546587588182,0.217139855415313,-0.09783606695,0.758965745,0.645649182073617,"0.65"
"fam:musicvivid",-0.161292874202463,0.383557913454572,-0.89494068,0.60653495125,0.409343497843821,"0.41"
"fam:lshs",0.0858617109119725,0.391225813094144,-0.680944458,0.8635277735,0.385615573720726,"0.39"
"musicvivid:lshs",-0.0189382850837157,0.382775479172683,-0.7612517605,0.73779823175,0.377254661756155,"0.38"
"fam:musicvivid:lshs",0.848416899644175,0.658988931624273,-0.4340868235,2.1222616075,1.38395669624044,"1.38"
