detectprob,binary_resp,SubjID,condition,training
1.0,1,1,2,1
0.389512521022619,0,1,2,0
0.389512521022619,0,1,2,0
0.53526263459471,1,1,2,0
0.389512521022619,0,1,2,0
0.53526263459471,1,1,2,0
0.389512521022619,0,1,2,0
0.389512521022619,1,1,2,0
0.389512521022619,0,1,2,0
0.261148327372654,0,1,2,0
0.0,0,1,2,0
0.389512521022619,1,1,2,0
0.389512521022619,1,1,2,0
0.389512521022619,0,1,2,0
0.261148327372654,0,1,2,0
0.389512521022619,1,1,2,0
0.261148327372654,1,1,2,0
0.389512521022619,1,1,2,0
0.261148327372654,0,1,2,0
0.389512521022619,0,1,2,0
0.0,0,1,2,0
0.53526263459471,1,1,2,0
0.389512521022619,1,1,2,0
0.0,0,1,2,0
0.261148327372654,1,1,2,0
0.261148327372654,0,1,2,0
0.0,0,1,2,0
0.0,1,1,2,0
0.389512521022619,1,1,2,0
0.389512521022619,1,1,2,0
0.389512521022619,1,1,2,0
0.0,0,1,2,0
0.0,0,1,2,0
0.53526263459471,0,1,2,0
0.0,1,1,2,0
0.0,1,1,2,0
0.261148327372654,1,1,2,0
0.261148327372654,0,1,2,0
0.389512521022619,0,1,2,0
0.0,0,1,2,0
0.389512521022619,0,1,2,0
0.0,1,1,2,0
0.0,0,1,2,0
0.389512521022619,0,1,2,0
0.261148327372654,0,1,2,0
0.389512521022619,0,1,2,0
0.0,0,1,2,0
0.0,0,1,2,0
0.53526263459471,0,1,2,0
0.0,0,1,2,0
0.389512521022619,0,1,2,0
0.389512521022619,0,1,2,0
0.261148327372654,0,1,2,0
0.53526263459471,1,1,2,0
0.0,0,1,2,0
0.261148327372654,1,1,2,0
0.0,0,1,2,0
0.261148327372654,0,1,2,0
0.0,0,1,2,0
0.0,1,1,2,0
0.0,0,1,2,0
0.0,1,1,2,0
0.261148327372654,0,1,2,0
0.53526263459471,1,1,2,0
0.0,1,1,2,0
0.0,0,1,2,0
0.0,1,1,2,0
0.0,1,1,2,0
0.261148327372654,0,1,2,0
0.0,0,1,2,0
0.0,0,1,2,0
0.389512521022619,1,1,2,0
0.0,1,1,2,0
0.53526263459471,1,1,2,0
0.389512521022619,1,1,2,0
0.0,0,1,2,0
0.0,0,1,2,0
0.261148327372654,0,1,2,0
0.261148327372654,0,1,2,0
0.389512521022619,1,1,2,0
0.389512521022619,1,1,2,0
0.261148327372654,1,1,2,0
0.0,1,1,2,0
0.389512521022619,0,1,2,0
0.0,0,1,2,0
0.0,0,1,2,0
0.389512521022619,0,1,2,0
0.261148327372654,0,1,2,0
0.389512521022619,1,1,2,0
0.0,0,1,2,0
0.389512521022619,0,1,2,0
0.261148327372654,1,1,2,0
0.0,0,1,2,0
0.0,1,1,2,0
0.0,0,1,2,0
0.0,1,1,2,0
0.53526263459471,1,1,2,0
0.53526263459471,1,1,2,0
0.261148327372654,1,1,2,0
0.0,1,1,2,0
0.0,1,1,2,0
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
1.0,1,1,3,1
0.537269904149515,1,1,3,0
0.482577808243511,1,1,3,0
0.591079624811099,0,1,3,0
0.537269904149515,0,1,3,0
0.537269904149515,1,1,3,0
0.537269904149515,1,1,3,0
0.537269904149515,0,1,3,0
0.537269904149515,1,1,3,0
0.482577808243511,0,1,3,0
0.0,0,1,3,0
0.591079624811099,0,1,3,0
0.482577808243511,1,1,3,0
0.537269904149515,0,1,3,0
0.537269904149515,0,1,3,0
0.482577808243511,1,1,3,0
0.537269904149515,0,1,3,0
0.0,0,1,3,0
0.537269904149515,1,1,3,0
0.537269904149515,0,1,3,0
0.537269904149515,1,1,3,0
0.0,1,1,3,0
0.537269904149515,1,1,3,0
0.0,0,1,3,0
0.591079624811099,0,1,3,0
