SubjID,condition,action_noise,prior_posterior_weight,xprob__volatility
1,2,1.747181275614924,1.2637469015321239,-5.083216386251592
1,3,1.5503887652381807,1.3266598267889194,-4.944540611050224
2,2,1.3671794334935967,0.5836002567462569,-5.238768891557777
2,3,1.303293960165676,1.0590066301368215,-4.379717366564446
3,2,0.6779376802652856,0.08392313005687096,-5.155111165540125
3,3,0.5234665015657698,0.6969997382929489,-6.0702019705074655
4,2,0.32950357853116624,1.8890635953009012,-6.076328082835939
4,3,0.519027434471411,0.7003762415237282,-5.822063670343711
5,2,0.3419935099851669,2.6939905623429694,-4.288215002898523
5,3,0.8375825550527991,1.4657960174672287,-4.105831376357946
6,2,0.9326414539848422,0.34606831625242296,-5.143507123504616
6,3,0.21768830983776144,0.731433689034776,-6.917986484061267
7,1,1.4920807849693258,1.6194392660980936,-5.0869742948469465
7,4,0.8701522400092754,1.026956982639533,-5.898596212214532
8,1,1.0104184332680701,2.0981877234945676,-3.44234605712687
8,4,0.3727812911786538,1.4567178123314763,-5.60215630435076
10,1,0.7867739053484568,0.1761076945265784,-5.09305885898209
10,4,0.25519030007276144,1.6215282600259715,-6.174212424935929
11,1,1.0516828475844247,0.5454651523074037,-5.244726573773766
11,4,0.44365190329256865,1.5122594893223744,-6.307046565744708
12,1,1.4051168686912412,1.7906161365942181,-4.9893524607905855
12,4,1.6668867244569958,1.6454107880370392,-4.538036448686296
13,2,0.8668623506899132,1.12405362711466,-5.696796599834821
13,3,0.4638556010360522,0.9274461711943844,-6.527408433982611
14,2,0.8739794606989707,0.35516179383088814,-4.30092199609886
14,3,0.3711032771889509,3.0783640864334587,-4.689569687297029
15,2,0.30366657770170996,1.7658413062666591,-6.58409334173356
15,3,0.7916690297489752,0.7090292114164591,-4.47569424302049
16,2,0.8343601175741425,0.8589506579974377,-5.494038333648522
16,3,0.5717065043118983,2.2906603944836483,-5.62392307807208
17,2,0.5281272112113129,1.5336128811825658,-5.352828931183238
17,3,1.0693047141590224,0.48076971206139374,-4.761615105504495
18,2,0.31587920563970334,2.627248386835377,-5.240988247855468
18,3,0.9500208117547897,0.4193307109997718,-4.088208050800194
19,2,0.41058207878138375,2.033003725038087,-5.961170053979228
19,3,0.7808421972562734,0.7018845421721219,-5.384894343414617
23,1,0.7935509474930922,1.9523146531651938,-3.8821122484848614
23,4,0.7176687752320814,2.008631039195162,-5.688855138577107
24,2,0.415205173564241,1.6393733844853084,-5.580697440179147
24,3,0.446724824220633,1.4617420610822711,-6.5400529346555345
25,1,0.4645699860686311,1.6313603674023094,-5.631613419257151
25,4,0.5587542374032246,1.8421314982753885,-5.265077859685378
26,2,0.45183198515757356,2.2339633732239896,-6.209430171872677
26,3,0.852438825135719,0.4387738882874933,-4.828403409264842
27,1,1.4340925685706978,1.3963550122009332,-4.688948429652869
27,4,0.7326936907893324,1.1532287296959933,-2.2686473025173792
28,1,0.7393131815832275,0.9903679744909084,-5.661183073438743
28,4,0.7141605940353526,1.8531852492082428,-5.873167876737864
29,1,0.02970264680799716,1.400581221903828,-7.649127309515088
29,4,0.5641822659515717,0.4594628181792079,-5.114341457938867
30,1,0.7153686384819788,0.3179604817090197,-5.237905540225058
30,4,0.4639950079790522,0.766652182303641,-4.816328022381237
31,1,1.3927616918106924,1.702891706217568,-5.250569754980825
31,4,1.3295093192991847,1.6512239184841713,-5.432174753843666
32,1,1.1233305223442165,2.719772449428473,-5.409796597107363
32,4,0.8636063006531354,1.6713864051289922,-5.6024669923969315
33,1,0.4704040888657336,1.0373388037736866,-5.683843426092812
33,4,0.5042686785951189,1.0998794501818074,-6.269502798380896
34,2,1.3098302168977773,1.263169724829724,-4.969324332360343
34,3,1.026667523634088,1.5317590681306699,-4.289973168844998
35,2,0.7713802893624138,2.6330794730743285,-4.810321854548459
35,3,0.8535312820298742,2.151210373793978,-5.676487331185191
36,1,1.6519008225347578,1.2192591881217845,-5.428376136255725
36,4,0.9777955614761453,0.10527316396782482,-5.4501450200051575
37,2,0.44374815831651665,1.8903543471560975,-6.160217686667863
37,3,0.9426292081537543,0.10662081111708219,-5.43572815827755
38,1,0.7660036046951744,2.6408631837307945,-5.531302691323059
38,4,0.6070343950339785,0.9929810875418497,-4.201497880423558
39,2,0.33596321781923777,2.489729823363798,-5.248312669772073
39,3,1.1810516544128016,1.2794231633710331,-2.62498550038713
40,1,0.4625269858181137,1.4197368291925145,-5.389769327054847
40,4,0.4555791177444134,0.3353655280418467,-5.595240857370804
