parameter,mean,std,ess_bulk,rhat,rhat_warn,ess_warn
"parameters[1, 1]",1.3475130180159116,0.6703534705282133,2851.106858035249,1.0009930163648788,false,false
"parameters[2, 1]",1.8253159741036862,0.5357127329551556,3285.5789798717183,1.0000762995884531,false,false
"parameters[3, 1]",-5.104476101223825,1.0595614277440755,4846.070320041531,1.000128290616437,false,false
"parameters[1, 2]",1.3843499379619928,0.6406325530492482,3387.780290777793,1.0010996525829994,false,false
"parameters[2, 2]",1.6096866899092257,0.44814685004868476,3714.352063139052,0.9999894725106241,false,false
"parameters[3, 2]",-4.966802920263837,1.0658357944220296,4042.1410855150352,1.000778252726324,false,false
"parameters[1, 3]",0.6862584539516473,0.45857893472751815,2512.7601483219637,1.0015843019731903,false,false
"parameters[2, 3]",1.4412287229886278,0.46245026057533495,2430.94578530641,1.0007031197518599,false,false
"parameters[3, 3]",-5.223554678400735,0.9715059929990998,3254.2303549130247,1.0002525164125438,false,false
"parameters[1, 4]",1.1369338079380962,0.5782831545687618,3259.612031577043,1.0009502565014445,false,false
"parameters[2, 4]",1.3609699098931995,0.3508421784745593,3312.7277434731686,1.0013853616056763,false,false
"parameters[3, 4]",-4.461641348753065,1.1262820713361759,3181.4668985022367,1.0006425673199069,false,false
"parameters[1, 5]",0.1254670352468689,0.13498091198150125,3236.0737844210767,1.0012251872953202,false,false
"parameters[2, 5]",0.7031192622532697,0.17631198316917798,4024.095443522542,1.0000073399827019,false,false
"parameters[3, 5]",-5.158571301502378,1.0081127650069515,4144.504989588368,1.00237906285515,false,false
"parameters[1, 6]",0.6932859219925659,0.2651916953442157,2095.8562969063773,1.0021756809356202,false,false
"parameters[2, 6]",0.5624127792830468,0.1870257136259753,2048.637119769451,1.0012240047212726,false,false
"parameters[3, 6]",-5.965415400634745,1.0895136380018644,2964.038828041992,1.0011779633108524,false,false
"parameters[1, 7]",1.9148051712299716,0.27012340856710015,3525.024942107945,1.000342793204076,false,false
"parameters[2, 7]",0.3440630026619716,0.08980587355057659,4707.777657987628,1.0005183086408729,false,false
"parameters[3, 7]",-6.084477803664713,0.8025892250129104,4283.569506277844,1.001978384033694,false,false
"parameters[1, 8]",0.7194604150456791,0.2335767466892316,3306.2407274578177,0.9999370324839785,false,false
"parameters[2, 8]",0.5361591882609079,0.11825112925103269,3121.4165348128067,1.0020580775417685,false,false
"parameters[3, 8]",-5.814218579883118,0.8566167145123762,4575.2494360929095,1.0010881596296113,false,false
"parameters[1, 9]",2.7456881090975895,0.5920552046826729,5047.312262923242,0.9999662067403643,false,false
"parameters[2, 9]",0.3537334799482099,0.09128868829955372,3842.115054805209,1.0007558410428588,false,false
