source_row,SubjID,condition,timestep,current_detectprob,current_response,previous_response,training,belief,xbin__prediction_mean,xbin__value_prediction_error,xprob__value_prediction_error,xprob__precision_prediction_error,xprob__posterior_precision,xprob__posterior_mean,xvol__value_prediction_error,xvol__posterior_precision,xvol__posterior_mean,signal_expectation
1,1,2,0,1.0,1,,1,0.720872748478624,,,,,1.0,0.0,,1.0,0.0,0.5
2,1,2,1,0.389512521022619,0,1,0,0.5068303679167017,0.5,0.5,0.4019815228944068,-0.04039728618771066,1.243838265020376,0.4019815228944068,-0.00012476718865854752,0.99766928526615,-0.00012476718865854752,0.5991636490444456
3,1,2,2,0.389512521022619,0,0,0,0.4502865192898886,0.5991636490444456,-0.5991636490444456,-0.4063538924967186,0.04093392820324904,1.4744872884221492,-0.004372369602311771,0.00015736227809433708,0.9950832235912908,3.259508943578955e-5,0.49890690934086324
4,1,2,3,0.53526263459471,1,0,0,0.47401914261214745,0.49890690934086324,-0.49890690934086324,-0.2915660257559385,-0.02189000147395409,1.7111284077885884,-0.2959383953582503,-9.988873023639909e-5,0.9927732167408063,-6.729364080060955e-5,0.4265506751346155
5,1,2,4,0.389512521022619,0,1,0,0.45134720789578286,0.4265506751346155,0.5734493248653846,0.2959322706540088,0.022050528579278028,1.9377721929920593,-6.124704241466938e-6,0.00011685956075473395,0.9902779501511823,4.9565919954124405e-5,0.49999846882393967
6,1,2,5,0.53526263459471,1,0,0,0.4829724219835827,0.49999846882393967,-0.49999846882393967,-0.23097104136272384,-0.013337612807779342,2.1647669169629866,-0.2309771660669653,-8.01457479321781e-5,0.9880008777895843,-3.057982797805369e-5,0.44251106987299005
7,1,2,6,0.389512521022619,0,1,0,0.4520205693491597,0.44251106987299005,0.55748893012701,0.23396444827899346,0.01339680321975878,2.3827933465377398,0.002987282212028153,9.000598866142127e-5,0.9855884986254884,5.942616068336759e-5,0.5007468199976297
8,1,2,7,0.389512521022619,1,0,0,0.42414382543617235,0.5007468199976297,-0.5007468199976297,-0.1927356417953237,-0.008998858527085873,2.5981018147846298,-0.18974835958329556,-6.662721227818861e-5,0.9833561259136206,-7.201051594821027e-6,0.4527047283389838
9,1,2,8,0.389512521022619,0,1,0,0.45248621759787966,0.4527047283389838,0.5472952716610162,0.19513655861171114,0.009023679091526904,2.8046783068405774,0.0053881990284155995,7.291226883294664e-5,0.9810214232722833,6.571121723812561e-5,0.5013470464980674
10,1,2,9,0.261148327372654,0,0,0,0.3713693419211477,0.5013470464980674,-0.5013470464980674,-0.16674124374539878,-0.006501393726544624,3.006736885675907,-0.1613530447169832,-5.677592501414416e-5,0.9788413961782343,7.419324955466677e-6,0.4597490281357786
11,1,2,10,0.0,0,0,0,0.2350091493399573,0.4597490281357786,-0.4597490281357786,-0.14366745550755605,-0.016692153646496954,3.200091684819787,-0.30502050022453925,-0.00015641833198860853,0.9767867802673869,-0.00014748303976462707,0.4243306412779607
12,1,2,11,0.389512521022619,1,0,0,0.3916443167159046,0.4243306412779607,-0.4243306412779607,-0.12546295390397263,-0.022832510430348008,3.3821190230430487,-0.43048345412851186,-0.0002278918910074143,0.9748300914365882,-0.0003753749307720414,0.3940108931083428
13,1,2,12,0.389512521022619,1,1,0,0.41450931396232193,0.3940108931083428,0.6059891068916572,0.17063155805623778,0.029218461193096013,3.551448031621786,-0.2598518960722741,0.0003084257034271133,0.9724033600702175,-6.69492273449281e-5,0.4354001157719184
14,1,2,13,0.389512521022619,0,1,0,0.4368622029076047,0.4354001157719184,0.5645998842280816,0.15174291030180875,0.01394476163060654,3.720766179572361,-0.10810898577046536,0.0001548408816562042,0.9701534821897727,8.789165431127609e-5,0.4729990463591742
15,1,2,14,0.261148327372654,0,0,0,0.36206119018179683,0.4729990463591742,-0.4729990463591742,-0.12171458892430544,-0.010265629735973503,3.8861327559354937,-0.2298235746947708,-0.00011959431681165048,0.9681908672962175,-3.1702662500374387e-5,0.44279567396594904
16,1,2,15,0.389512521022619,1,0,0,0.40306179127761776,0.44279567396594904,-0.44279567396594904,-0.10956398735399958,-0.015496853012793965,4.041434502589547,-0.3393875620487704,-0.00018873190288515868,0.9663233188486433,-0.00022043456538553305,0.41595825323675006
17,1,2,16,0.261148327372654,1,1,0,0.36702310334938115,0.41595825323675006,0.5840417467632499,0.13953585957625197,0.01872362950169626,4.185603303912081,-0.19985170247251843,0.00023733303159024485,0.9640952590026111,1.6898466204711798e-5,0.45020270905448195
18,1,2,17,0.389512521022619,1,1,0,0.442290010020744,0.45020270905448195,0.549797290945518,0.12705464146081058,0.008605035616267243,4.32725080321015,-0.07279706101170783,0.00011201180477761205,0.9620127443983131,0.0001294357884279101,0.4818087676086181
19,1,2,18,0.261148327372654,0,1,0,0.4029562187906472,0.4818087676086181,0.5181912323913818,0.1160863150955493,0.000858957460771026,4.463844343161412,0.043289254083841475,6.929551719737341e-6,0.960054974018971,0.00012699499581661755,0.5108206237868622
20,1,2,19,0.389512521022619,0,0,0,0.44277363584118173,0.5108206237868622,-0.5108206237868622,-0.11120514560017258,-0.0006835798647558122,4.593498191122595,-0.06791589151633111,-5.78551684305135e-6,0.9581471479320977,0.0001328333258658056,0.48302755050214385
21,1,2,20,0.0,0,0,0,0.2551065566537376,0.48302755050214385,-0.48302755050214385,-0.10242323062529725,-0.006096353775141339,4.715996156832535,-0.17033912214162836,-8.831399032018785e-5,0.9563401617055372,4.2813382279136384e-5,0.45751788950231614
22,1,2,21,0.53526263459471,1,0,0,0.47754465930999845,0.45751788950231614,-0.45751788950231614,-0.09472003704392976,-0.010274593760426054,4.830212438305501,-0.2650591591855581,-0.0001529726900572603,0.9546196945552472,-0.00010845335451164255,0.4341204640139995
23,1,2,22,0.389512521022619,1,1,0,0.43052785252319026,0.4341204640139995,0.5658795359860005,0.11465629306957556,0.011877545874882434,4.935442597158499,-0.15040286611598255,0.00018129494267625723,0.9526261492988031,7.28415881646147e-5,0.4624700040516113
24,1,2,23,0.0,0,1,0,0.27514029168977727,0.4624700040516113,0.5375299959483888,0.10670600645439449,0.005061191863907077,5.037485991972824,-0.04369685966158807,7.796627590047528e-5,0.9507505050747532,0.000151383188837668,0.4890775229928488
25,1,2,24,0.261148327372654,1,0,0,0.3753339420559424,0.4890775229928488,-0.4890775229928488,-0.09524804582116075,-0.004243973623858921,5.134777692344283,-0.1389482437587508,-6.675189381054344e-5,0.9490357845188058,8.432265006593845e-5,0.4653187192902558
26,1,2,25,0.261148327372654,0,1,0,0.3910843706751387,0.4653187192902558,0.5346812807097442,0.10232848136496067,0.004373893792751438,5.2251383299518,-0.03661642411778814,7.033853731189846e-5,0.9472194922680579,0.00015550956805963947,0.4908469166247891
27,1,2,26,0.0,0,0,0,0.2612494207664277,0.4908469166247891,-0.4908469166247891,-0.09241959481729647,-0.0037191026030085617,5.311070004876056,-0.12915058853124753,-6.101670105983867e-5,0.9455494505867885,9.398508056944527e-5,0.4677571576268288
28,1,2,27,0.0,1,0,0,0.24719912243848646,0.4677571576268288,-0.4677571576268288,-0.08677631034494965,-0.007465597066752483,5.390707441171008,-0.21581232928003424,-0.00012615534611309562,0.9439581039073399,-3.217026554365037e-5,0.44625535218167084
29,1,2,28,0.389512521022619,1,1,0,0.4357556205273828,0.44625535218167084,0.5537446478183292,0.10135378758293509,0.008355971967598741,5.463482798960371,-0.11445854169709915,0.00014347329014816174,0.9421511155191805,0.00011130302460451137,0.4714165631548404
30,1,2,29,0.389512521022619,1,1,0,0.44981530107182566,0.4714165631548404,0.5285834368451596,0.09552176824529901,0.0031209158046024976,5.533644038558938,-0.018936773451800143,4.5997431490243404e-5,0.9404440251304262,0.0001621868992204676,0.4952659481069627
31,1,2,30,0.389512521022619,1,1,0,0.46262940068414843,0.4952659481069627,0.5047340518930373,0.09013044469421888,-0.0011773281810468772,5.600039801960065,0.07119367124241874,-2.0814438718708085e-5,0.9388253718565467,0.00011023944888236529,0.5177909039443749
32,1,2,31,0.0,0,1,0,0.3051654171317539,0.5177909039443749,0.4822090960556251,0.08516904994538979,-0.0048416151279436215,5.661788188208059,0.15636272118780853,-8.673650495460666e-5,0.9372846014063861,3.663147313652197e-5,0.5390112295171758
33,1,2,32,0.0,0,0,0,0.29047017565864997,0.5390112295171758,-0.5390112295171758,-0.09426156095528988,0.005146731250893266,5.718251014392161,0.062101160232518646,9.332978553811371e-5,0.9356057933719122,0.00013038481981356007,0.5155203024652117
34,1,2,33,0.53526263459471,0,0,0,0.5125866382528547,0.5155203024652117,-0.5155203024652117,-0.089310977986084,0.0007800757975268136,5.772194525819837,-0.027430707577350652,1.4308841604116203e-5,0.9340149010243656,0.0001669408728113581,0.49314275307465083
35,1,2,34,0.0,1,0,0,0.261980007581869,0.49314275307465083,-0.49314275307465083,-0.08470288496930486,-0.0029456166152694307,5.822682424472765,-0.11191270272287022,-5.461656548039843e-5,0.9325019200503657,0.00010598956176667925,0.4720509887389066
36,1,2,35,0.0,1,1,0,0.2771811271166391,0.4720509887389066,0.5279490112610934,0.08995549360870986,0.0030116574723405565,5.869002858138251,-0.02195720911416036,5.640065997880816e-5,0.9309097813745622,0.0001687249673097678,0.4945109182526707
37,1,2,36,0.261148327372654,1,1,0,0.4053893592826508,0.4945109182526707,0.5054890817473293,0.08548950535309416,-0.0008883762336121537,5.912879198868842,0.0635322962389338,-1.6794255200112428e-5,0.9293977125898376,0.00013286169427072803,0.5158777337349072
38,1,2,37,0.261148327372654,0,1,0,0.41692320313429576,0.5158777337349072,0.4841222662650928,0.08131727456829979,-0.0042337263500859534,5.953498851755566,0.1448495708072336,-8.074291657735231e-5,0.9279565679347872,4.468993174911404e-5,0.5361492096794873
39,1,2,38,0.389512521022619,0,0,0,0.4596426384651504,0.5361492096794873,-0.5361492096794873,-0.08950367257521227,0.004478716236522184,5.990248684568727,0.0553458982320213,8.610761187666756e-5,0.926386633122031,0.00015341881242195434,0.5138329436814457
40,1,2,39,0.0,0,0,0,0.2745210870349775,0.5138329436814457,-0.5138329436814457,-0.08527614328594513,0.0005414109609431783,6.025518614135168,-0.032011021291933145,1.0483957877476882e-5,0.9248965851861326,0.00016655489477802597,0.49199792797927555
41,1,2,40,0.389512521022619,0,0,0,0.4335774866540415,0.49199792797927555,-0.49199792797927555,-0.0812946160555384,-0.0028683268246531,6.058433681759015,-0.11122486110946223,-5.597876982736949e-5,0.9234776215466498,9.544339646327002e-5,0.47222241512720864
42,1,2,41,0.0,1,0,0,0.2484609416856296,0.47222241512720864,-0.47222241512720864,-0.07756214972632172,-0.0058083086520656635,6.0883105659545915,-0.18878701083578392,-0.00011412131079778867,0.9221215130566756,-2.2914391765526437e-6,0.4529429259696303
43,1,2,42,0.0,0,1,0,0.26367272400685077,0.4529429259696303,0.5470570740303696,0.08946677890791048,0.006436738384275942,6.1146397987503995,-0.09932023192787345,0.00012724210143333023,0.9205716032068338,0.00011879070076728974,0.4751903332638021
44,1,2,43,0.389512521022619,0,0,0,0.42401198030254295,0.4751903332638021,-0.4751903332638021,-0.07738430066960394,-0.00533315424379055,6.140656088771549,-0.1767045325974774,-0.00010605643863665131,0.9192332785709674,1.2482088121690155e-5,0.4559384571832607
45,1,2,44,0.261148327372654,0,0,0,0.35507581118544085,0.4559384571832607,-0.4559384571832607,-0.07397396295759506,-0.007876227416204862,6.16349970095371,-0.2506784955550725,-0.00015748296240211955,0.9179499261348509,-0.00013858873878199327,0.4376565053319938
46,1,2,45,0.389512521022619,0,0,0,0.4045160325096849,0.4376565053319938,-0.4376565053319938,-0.07078631552723066,-0.010059333675408344,6.182784640725563,-0.3214648110823031,-0.00020210515372117197,0.9167146582150774,-0.0003406938925031652,0.42031880381603315
47,1,2,46,0.0,0,0,0,0.2184261881243418,0.42031880381603315,-0.42031880381603315,-0.06781243384273733,-0.011927187529994332,6.19825623312736,-0.38927724492504046,-0.0002406311843411726,0.9155211788809601,-0.0005813250768443379,0.403891301580811
48,1,2,47,0.0,0,0,0,0.20887220688343988,0.403891301580811,-0.403891301580811,-0.06504126167275995,-0.013520578898565894,6.209770938225706,-0.4543185065978004,-0.0002737274200962306,0.9143637658714507,-0.0008550524969405685,0.3883344946891095
